id;Marka;Model;Sztuk_sprzedanych_pierwsze_30_dni;cena_wysylka30A;Data_wystawienia_aukcji;CA_NAME_5;fea_30;bld_30;hli_30;dpg_30;sa_30;48h_30;sma_30;bgn_30;top_seller_sales_30m;unique_sellers30m;sum_tr_quantity30m;sum_tr_quantity6030m;sum_tr_quantity9060m;sum_tr_quantity12090m;sum_tr_quantity150120m;sum_tr_quantity180150m;cena_z_wysylka30m;mp_fea;mp_bld;mp_hli;mp_dpg;mp_sa;mp_48h;mp_sma;mp_bgn;top3_sales_30m;ILE_AUKCJI_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_WYZSZA_CENA_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_ROWNA_CENA_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_NIZSZA_CENA_W_DNIU_DEBIUTU_FIRMA;sez_IND
241;zelmer;Quiqo ZVC315SK;18;267,1818182;13.11.2018;Odkurzacze;1;1;1;0;1;0;1;0;20;17;70;48;29;61;38;44;278,5897143;0,885714286;0;0;0;0,942857143;0,885714286;0,071428571;0,257142857;44;43;28;0;15;1,412025994
242;zelmer;TINY ZVC235SK;11;229;13.11.2018;Odkurzacze;1;1;1;0;1;0;1;0;30;10;75;60;54;61;72;46;233,5902667;0,92;0;0;0;0,96;0,933333333;0,013333333;0;59;66;24;4;38;1,412025994
243;zelmer;ZCK0274I CKE820;3;69;03.11.2018;Czajniki;1;1;1;0;1;0;1;0;17;9;38;21;18;23;29;48;71,24105263;0,789473684;0;0;0;0,973684211;0,894736842;0,052631579;0;26;23;17;0;6;1,22803747
244;zelmer;ZCK0274L CKE820;13;69;03.11.2018;Czajniki;1;1;1;0;1;0;1;0;9;7;30;77;43;88;26;22;64,29933333;0,433333333;0;0;0;1;0,466666667;0;0;22;35;27;0;8;1,22803747
245;zelmer;ZCK0274S CKE820;59;69;03.11.2018;Czajniki;1;1;1;0;1;0;1;0;1;1;1;2;4;64;33;12;91;0;0;0;0;1;0;0;0;1;7;7;0;0;1,22803747
246;zelmer;ZCK0277I Crystal 332.2;14;83;12.11.2018;Czajniki;1;1;1;0;1;0;1;1;11;11;40;23;24;27;44;20;84,86625;0,725;0,275;0,275;0;0,725;0,975;0,025;0,025;23;36;31;1;4;1,420204751
247;zelmer;ZCK0277L Crystal 332.2;25;82,92592593;26.10.2018;Czajniki;1;1;1;0;1;0;1;0,833333333;65;14;136;106;122;99;102;143;83,20808824;0,779411765;0,073529412;0,088235294;0;0,683823529;0;0,007352941;0;106;39;34;0;5;1,11486539
248;zelmer;ZCK0277S Crystal 332.2;47;82,87096774;26.10.2018;Czajniki;1;1;1;0;1;0,85;1;0,8;8;6;22;32;24;23;12;37;84,34136364;0,909090909;0,181818182;0;0;0,954545455;1;0;0;19;12;10;1;1;1,11486539
249;zelmer;ZCK0277W Crystal 332.2;25;82,92592593;26.10.2018;Czajniki;1;1;1;0;1;0;1;0,894736842;16;9;41;45;52;56;36;27;85,4604878;0,829268293;0;0;0;0,87804878;0,975609756;0,097560976;0;30;22;21;1;0;1,11486539
250;zelmer;ZCK1272X 17z018;48;94,53448276;12.11.2018;Czajniki;1;1;1;0;1;0,307692308;1;0;62;21;181;153;141;126;130;153;98,39977901;0,845303867;0;0,342541436;0;0,900552486;0;0,110497238;0,342541436;100;73;56;0;17;1,420204751
251;zelmer;ZCK1274A CK1020;26;105;26.10.2018;Czajniki;1;1;1;0;1;0;1;0,733333333;21;14;78;105;71;68;45;85;103,3519231;0,679487179;0;0;0;0,948717949;0;0,064102564;0,205128205;46;33;26;0;7;1,11486539
252;zelmer;ZCK1274E CK1020;96;105;02.12.2018;Czajniki;1;1;1;0;1;0;1;0;68;4;79;76;138;40;34;15;105,9594937;0,886075949;0;0;0;1;0,886075949;0,860759494;0;78;6;4;0;2;1,471858446
253;zelmer;ZCK1275X ck1050;7;109,4590164;12.11.2018;Czajniki;1;1;1;0;1;0,166666667;1;0;26;11;74;76;54;46;47;28;154,0418919;0,72972973;0;0;0;1;0,878378378;0,040540541;0,256756757;59;44;41;0;3;1,420204751
254;zelmer;ZFS1006X 493.6;30;282,6774194;26.11.2018;Krajalnice;1;1;1;0;1;0;1;0;7;9;24;18;30;19;25;18;296,6620833;0,666666667;0;0;0;0,875;0;0,041666667;0;18;17;11;1;5;2,261988304
255;zelmer;ZHB0804S;21;114,74875;20.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0;5;8;23;24;26;25;27;14;116,7530435;0,913043478;0;0;0;1;0,826086957;0;0;13;24;21;1;2;2,266732947
256;zelmer;ZHB1304B 491.4;158;164,7419355;13.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0,953488372;77;20;373;321;254;402;349;429;161,9771046;0,967828418;0,013404826;0,013404826;0;0,978552279;0,605898123;0,128686327;0,064343164;413;88;48;2;38;1,790142503
257;zelmer;ZHB1320B;54;254;03.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0;22;12;63;39;49;28;49;34;263,9339683;0,936507937;0;0;0;0,984126984;0;0,111111111;0;49;31;29;2;0;1,324465471
258;zelmer;ZHM0807L (381.7);20;99;03.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0;1;2;2;3;8;15;25;30;114,5;0,5;0;0;0;1;1;0;0;2;12;12;0;0;1,324465471
259;zelmer;ZHM0807S (381.7);14;99;03.11.2018;Miksery i blendery;1;1;1;0;1;0,272727273;1;0;2;3;4;7;4;16;13;7;119,25;0;0;0;0;1;0,75;0;0;4;10;10;0;0;1,324465471
260;zelmer;ZHM0861L 381.61;60;129;02.12.2018;Miksery i blendery;1;1;1;0;1;1;1;0;12;10;61;25;36;39;42;34;147,1963934;0,950819672;0,081967213;0,081967213;0;0,803278689;0,786885246;0,06557377;0;32;45;40;0;5;1,943615939
261;zelmer;ZHM0861S 381.61;60;129;02.12.2018;Miksery i blendery;1;1;1;0;1;1;1;0;23;7;37;20;48;50;122;121;147,9189189;0,945945946;0;0;0;0,972972973;0,972972973;0,054054054;0;29;17;17;0;0;1,943615939
262;zelmer;ZHM1204I (481.4);32;76,1641791;03.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0,80952381;64;12;121;46;15;32;41;49;86,73966942;0,94214876;0;0;0;0,991735537;0,743801653;0,008264463;0;106;65;63;0;2;1,324465471
263;zelmer;ZHM1204L (481.4);98;75,22222222;03.11.2018;Miksery i blendery;1;1;1;0;1;0,71875;1;0,71875;7;6;22;20;25;40;29;44;106,8409091;0,954545455;0;0;0;1;0,909090909;0,181818182;0;16;40;40;0;0;1,324465471
264;zelmer;ZHM1204S (481.4);52;75,8571831;03.11.2018;Miksery i blendery;1;1;1;0;1;0,964285714;1;0;81;15;128;43;42;53;66;56;88,4653125;0,9140625;0,0703125;0,1171875;0;0,9921875;0,34375;0,0078125;0;110;61;60;0;1;1,324465471
267;zelmer;ZHM1205S 481.5;86;97,96721311;12.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0;3;5;8;11;13;9;9;8;103,5575;0,375;0;0;0;1;0,5;0,125;0;6;44;44;0;0;1,757116574
269;zelmer;ZMM1005L Diana 887.5;186;164;26.10.2018;Maszynki do mi?a;1;1;1;0;1;0,3125;1;0,458333333;243;13;348;262;182;96;70;88;215,4918678;0,974137931;0;0;0;0,997126437;0,902298851;0;0,020114943;299;61;57;1;3;1,230388996
270;zelmer;ZMM1054S 887.54;735;184,7580645;17.11.2018;Maszynki do mi?a;1;1;1;0;1;0,096153846;1;0;11;7;28;16;18;5;8;5;201,1560714;0,892857143;0;0;0;0,821428571;0,821428571;0,071428571;0;21;21;20;0;1;2,402321083
271;zelmer;ZMM1084I 887.84;223;186,6441176;02.12.2018;Maszynki do mi?a;1;1;1;0;1;0;1;0;42;8;83;38;13;8;18;15;199,5143373;0,963855422;0;0;0;0,975903614;0,963855422;0;0;75;26;26;0;0;2,157210402
272;zelmer;ZMM1084S 887.84;215;186,9658065;02.12.2018;Maszynki do mi?a;1;1;1;0;1;0;1;0;37;7;63;21;25;23;52;49;193,564127;0,682539683;0;0;0;0,968253968;0;0;0;56;17;13;1;3;2,157210402
273;zelmer;ZMM1284L MM1200.84;55;231,7058824;26.10.2018;Maszynki do mi?a;1;1;1;0;1;0;1;0,916666667;28;12;103;75;41;53;133;113;236,1484466;0,912621359;0;0;0;0,990291262;0,718446602;0,009708738;0,058252427;68;51;49;0;2;1,230388996
274;zelmer;ZMM1284S MM1200.84;15;232;26.10.2018;Maszynki do mi?a;1;1;1;0;1;0;1;0;88;8;108;55;26;25;10;26;242,420463;0,972222222;0;0;0;0,990740741;0,981481481;0,009259259;0,018518519;101;37;29;1;7;1,230388996
275;zelmer;ZMM1508L 987.80;30;355;26.10.2018;Maszynki do mi?a;1;1;1;0;1;0,153846154;1;1;7;3;11;3;1;4;5;2;360,1727273;0,272727273;0;0;0;1;0,909090909;0;0;11;5;5;0;0;1,230388996
276;zelmer;ZMM1508S 987.80;20;355;26.10.2018;Maszynki do mi?a;1;1;1;0;1;0;1;1;54;4;62;64;23;1;5;2;402,5075806;1;0;0;0;1;0,935483871;0,016129032;0;61;33;25;0;8;1,230388996
277;zelmer;ZMM1586S 987.86;16;299;16.12.2018;Maszynki do mi?a;1;1;1;0;1;0;1;0;6;3;12;3;1;0;1;0;345,62;0,583333333;0;0;0;1;1;0;0;12;6;6;0;0;1,317859446
278;zelmer;ZSB1400B SB1000;126;180,6666667;13.11.2018;Miksery i blendery;1;1;1;0;1;0;1;0,95;33;9;107;93;146;144;95;58;178,9309346;0,925233645;0;0;0;1;0,971962617;0,074766355;0;72;19;19;0;0;1,790142503
280;zelmer;ZSH14910 (SH1491);25;108,9375;26.10.2018;Golarki;1;1;1;0;1;0,578947368;1;0,578947368;6;6;18;19;26;27;2;1;117,055;0,833333333;0;0;0;0,888888889;1;0;0;18;15;8;1;6;1,078769738
281;zelmer;ZSH15910;28;139;05.11.2018;Golarki;1;1;1;0;1;0;1;0;3;2;4;14;5;11;17;4;144,25;1;0;0;0;1;0,75;0;0;4;8;7;0;1;1,399570365
282;zelmer;ZSH15910 (SH1591);9;146,6470588;26.10.2018;Golarki;1;1;1;0;1;0,75;1;0;25;3;34;27;23;21;0;0;152,7058824;0,911764706;0;0;0;0,794117647;1;0;0,147058824;35;13;3;1;9;1,078769738
283;zelmer;ZSM2101x 26z012;38;160,0555556;03.12.2018;Tostery i opiekacze;1;1;1;0;1;0;1;0;9;14;55;42;58;33;41;13;166,5514545;0,818181818;0;0;0;0,927272727;0;0,090909091;0;46;63;40;0;23;1,937568391
285;zelmer;ZVC335ST Voyager;14;275;13.11.2018;Odkurzacze;1;1;1;0;1;0;1;0,666666667;3;3;5;9;3;5;2;12;294,994;0,6;0;0;0;1;1;0;0;5;12;12;0;0;1,412025994
286;zelmer;ZVC335ST Voyager TWIX;17;274,8383871;13.11.2018;Odkurzacze;1;1;1;0;1;0;1;0,857142857;36;19;96;147;106;88;94;84;278,4576042;0,916666667;0;0;0;0,979166667;0;0;0;59;90;52;1;37;1,412025994
